Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,REMARK
Doug Jones ,Sen,3-Jan-18,sendougjones,sendougjones,sendougjones,sendougjones,
Richard Shelby ,Sen,3-Jan-87,SenShelby,SenShelby,SenShelby,SenShelby,
Dan Sullivan ,Sen,3-Jan-15,SenDanSullivan,SenDanSullivan,SenDanSullivan,SenDanSullivan,
Lisa Murkowski ,Sen,20-Dec-02,LisaMurkowski,LisaMurkowski,LisaMurkowski,LisaMurkowski,
Kyrsten Sinema ,Sen,3-Jan-19,SenatorSinema,SenatorSinema,SenatorSinema,SenatorSinema,
Martha McSally ,Sen,3-Jan-19,SenMcSallyAZ,SenMcSallyAZ,SenMcSallyAZ,SenMcSallyAZ,
Tom Cotton ,Sen,3-Jan-15,SenTomCotton,SenTomCotton,SenTomCotton,SenTomCotton,
John Boozman ,Sen,3-Jan-11,JohnBoozman,JohnBoozman,JohnBoozman,JohnBoozman,
Dianne Feinstein ,Sen,4-Nov-92,SenFeinstein,SenFeinstein,SenFeinstein,SenFeinstein,
Kamala Harris ,Sen,3-Jan-17,SenKamalaHarris,SenKamalaHarris,SenKamalaHarris,SenKamalaHarris,
Cory Gardner ,Sen,3-Jan-15,SenCoryGardner,SenCoryGardner,SenCoryGardner,SenCoryGardner,
Michael Bennet ,Sen,21-Jan-09,SenatorBennet,SenatorBennet,SenatorBennet,SenatorBennet,
Chris Murphy ,Sen,3-Jan-13,ChrisMurphyCT,ChrisMurphyCT,senmurphyoffice,senmurphyoffice,ChrisMurphyCT(CSPAN) senmurphyoffice(REST) 
Richard Blumenthal ,Sen,3-Jan-11,SenBlumenthal,SenBlumenthal,SenBlumenthal,SenBlumenthal,
Tom Carper ,Sen,3-Jan-01,SenatorCarper,SenatorCarper,SenatorCarper,SenatorCarper,
Chris Coons ,Sen,15-Nov-10,ChrisCoons,ChrisCoons,ChrisCoons,ChrisCoons,
Rick Scott ,Sen,8-Jan-19,SenRickScott,SenRickScott,,,(Name is present with no Twitter handle in Github)
Marco Rubio ,Sen,3-Jan-11,marcorubio,marcorubio,SenRubioPress,SenRubioPress,marcorubio(CSPAN) SenRubioPress(REST)
David Perdue ,Sen,3-Jan-15,sendavidperdue,sendavidperdue,sendavidperdue,sendavidperdue,
Johnny Isakson ,Sen,3-Jan-05,SenatorIsakson,SenatorIsakson,SenatorIsakson,SenatorIsakson,
Mazie Hirono ,Sen,3-Jan-13,MazieHirono,MazieHirono,MazieHirono,MazieHirono,
Brian Schatz ,Sen,26-Dec-12,SenBrianSchatz,SenBrianSchatz,SenBrianSchatz,SenBrianSchatz,
Jim Risch ,Sen,3-Jan-09,SenatorRisch,SenatorRisch,SenatorRisch,SenatorRisch,
Mike Crapo ,Sen,3-Jan-99,MikeCrapo,MikeCrapo,MikeCrapo,MikeCrapo,
Dick Durbin ,Sen,3-Jan-15,SenatorDurbin,SenatorDurbin,SenatorDurbin,SenatorDurbin,
Tammy Duckworth ,Sen,3-Jan-17,SenDuckworth,SenDuckworth,SenDuckworth,SenDuckworth,
Mike Braun ,Sen,3-Jan-19,SenatorBraun,SenatorBraun,SenatorBraun,SenatorBraun,
Todd Young ,Sen,3-Jan-19,SenToddYoung,SenToddYoung,SenToddYoung,SenToddYoung,
Joni Ernst ,Sen,3-Jan-19,SenJoniErnst,SenJoniErnst,SenJoniErnst,SenJoniErnst,
Chuck Grassley ,Sen,3-Jan-19,ChuckGrassley,ChuckGrassley,ChuckGrassley,ChuckGrassley,
Pat Roberts ,Sen,3-Jan-97,SenPatRoberts,SenPatRoberts,SenPatRoberts,SenPatRoberts,
Jerry Moran ,Sen,3-Jan-11,JerryMoran,JerryMoran,JerryMoran,JerryMoran,
Mitch McConnell ,Sen,3-Jan-15,McConnellPress,McConnellPress,McConnellPress,McConnellPress,
Rand Paul ,Sen,3-Jan-11,RandPaul,RandPaul,RandPaul,RandPaul,
Bill Cassidy ,Sen,3-Jan-15,SenBillCassidy,SenBillCassidy,SenBillCassidy,,(Name is present with no Twitter handle in Github)
John Kennedy ,Sen,3-Jan-17,SenJohnKennedy,SenJohnKennedy,SenJohnKennedy,SenJohnKennedy,
Angus King ,Sen,3-Jan-13,SenAngusKing,SenAngusKing,SenAngusKing,SenAngusKing,
Susan Collins ,Sen,3-Jan-97,SenatorCollins,SenatorCollins,SenatorCollins,SenatorCollins,
Ben Cardin ,Sen,3-Jan-07,SenatorCardin,SenatorCardin,SenatorCardin,SenatorCardin,
Chris Van Hollen,Sen,3-Jan-17,ChrisVanHollen,ChrisVanHollen,ChrisVanHollen,ChrisVanHollen,
Elizabeth Warren ,Sen,3-Jan-13,SenWarren,SenWarren,SenWarren,SenWarren,
Ed Markey ,Sen,16-Jul-13,SenMarkey,SenMarkey,SenMarkey,SenMarkey,
Debbie Stabenow ,Sen,3-Jan-01,SenStabenow,SenStabenow,SenStabenow,SenStabenow,
Gary Peters ,Sen,3-Jan-19,SenGaryPeters,SenGaryPeters,SenGaryPeters,SenGaryPeters,
Amy Klobuchar ,Sen,3-Jan-07,SenAmyKlobuchar,SenAmyKlobuchar,SenAmyKlobuchar,SenAmyKlobuchar,
Tina Smith ,Sen,3-Jan-18,SenTinaSmith,SenTinaSmith,SenTinaSmith,SenTinaSmith,
Roger Wicker ,Sen,31-Dec-07,SenatorWicker,SenatorWicker,SenatorWicker,SenatorWicker,
Cindy Hyde-Smith ,Sen,9-Apr-18,SenHydeSmith,SenHydeSmith,SenHydeSmith,SenHydeSmith,
Josh Hawley ,Sen,3-Jan-19,SenHawleyPress,SenHawleyPress,SenHawleyPress,SenHawleyPress,
Roy Blunt ,Sen,10-Apr-18,RoyBlunt,RoyBlunt,RoyBlunt,RoyBlunt,
Jon Tester ,Sen,3-Jan-07,SenatorTester,SenatorTester,SenatorTester,SenatorTester,
Steve Daines ,Sen,3-Jan-15,SteveDaines,SteveDaines,SteveDaines,SteveDaines,
Deb Fischer ,Sen,3-Jan-13,SenatorFischer,SenatorFischer,SenatorFischer,SenatorFischer,
Ben Sasse ,Sen,3-Jan-15,SenSasse,SenSasse,SenSasse,SenSasse,
Jacky Rosen ,Sen,3-Jan-19,SenJackyRosen,SenJackyRosen,SenJackyRosen,SenJackyRosen,
Catherine Cortez Masto,Sen,3-Jan-19,sencortezmasto,sencortezmasto,sencortezmasto,sencortezmasto,
Jeanne Shaheen ,Sen,3-Jan-09,SenatorShaheen,SenatorShaheen,SenatorShaheen,SenatorShaheen,
Maggie Hassan ,Sen,3-Jan-17,Senatorhassan,Senatorhassan,Senatorhassan,Senatorhassan,
Robert Menendez ,Sen,17-Jan-06,SenatorMenendez,SenatorMenendez,SenatorMenendez,SenatorMenendez,
Cory Booker ,Sen,31-Oct-13,SenBooker,SenBooker,SenBooker,SenBooker,
Martin Heinrich ,Sen,3-Jan-13,MartinHeinrich,MartinHeinrich,MartinHeinrich,MartinHeinrich,
Tom Udall ,Sen,3-Jan-09,SenatorTomUdall,SenatorTomUdall,SenatorTomUdall,SenatorTomUdall,
Kirsten Gillibrand ,Sen,26-Jan-09,GillibrandNY,GillibrandNY,GillibrandNY,GillibrandNY,
Chuck Schumer ,Sen,3-Jan-17,SenSchumer,SenSchumer,SenSchumer,SenSchumer,
Thom Tillis ,Sen,3-Jan-15,senthomtillis,senthomtillis,senthomtillis,senthomtillis,
Richard Burr ,Sen,3-Jan-05,SenatorBurr,SenatorBurr,SenatorBurr,SenatorBurr,
Kevin Cramer ,Sen,3-Jan-19,SenKevinCramer,SenKevinCramer,SenKevinCramer,SenKevinCramer,
John Hoeven ,Sen,3-Jan-11,SenJohnHoeven,SenJohnHoeven,SenJohnHoeven,SenJohnHoeven,
Sherrod Brown ,Sen,3-Jan-07,SenSherrodBrown,SenSherrodBrown,SenSherrodBrown,SenSherrodBrown,
Rob Portman ,Sen,3-Jan-11,SenRobPortman,SenRobPortman,SenRobPortman,SenRobPortman,
James Inhofe ,Sen,16-Nov-94,JimInhofe,JimInhofe,InhofePress,InhofePres,JimInhofe(CSPAN) InhofePress(REST)
James Lankford ,Sen,3-Jan-15,SenatorLankford,SenatorLankford,SenatorLankford,SenatorLankford,
Jeff Merkley ,Sen,3-Jan-09,SenJeffMerkley,SenJeffMerkley,SenJeffMerkley,SenJeffMerkley,
Ron Wyden ,Sen,5-Feb-96,RonWyden,RonWyden,RonWyden,RonWyden,
Bob Casey Jr.,Sen,3-Jan-07,SenBobCasey,SenBobCasey,SenBobCasey,SenBobCasey,
Pat Toomey ,Sen,3-Jan-11,SenToomey,SenToomey,SenToomey,SenToomey,
Sheldon Whitehouse ,Sen,3-Jan-07,SenWhitehouse,SenWhitehouse,SenWhitehouse,SenWhitehouse,
Jack Reed ,Sen,3-Jan-97,SenJackReed,SenJackReed,SenJackReed,SenJackReed,
Lindsey Graham ,Sen,3-Jan-03,GrahamBlog,GrahamBlog,GrahamBlog,GrahamBlog,
Tim Scott ,Sen,2-Jan-13,SenatorTimScott,SenatorTimScott,SenatorTimScott,SenatorTimScott,
Mike Rounds ,Sen,3-Jan-15,SenatorRounds,SenatorRounds,SenatorRounds,SenatorRounds,
John Thune ,Sen,3-Jan-19,SenJohnThune,SenJohnThune,SenJohnThune,SenJohnThune,
Marsha Blackburn ,Sen,3-Jan-19,MarshaBlackburn,MarshaBlackburn,MarshaBlackburn,MarshaBlackburn,
Lamar Alexander ,Sen,3-Jan-03,SenAlexander,SenAlexander,SenAlexander,SenAlexander,
Ted Cruz ,Sen,3-Jan-13,SenTedCruz,SenTedCruz,SenTedCruz,SenTedCruz,
John Cornyn ,Sen,2-Dec-02,JohnCornyn,JohnCornyn,JohnCornyn,JohnCornyn,
Mitt Romney ,Sen,3-Jan-19,SenatorRomney,SenatorRomney,SenatorRomney,SenatorRomney,
Mike Lee ,Sen,3-Jan-19,SenMikeLee,SenMikeLee,SenMikeLee,SenMikeLee,
Bernie Sanders ,Sen,3-Jan-07,SenSanders,SenSanders,SenSanders,SenSanders,
Patrick Leahy ,Sen,3-Jan-75,SenatorLeahy,SenatorLeahy,SenatorLeahy,SenatorLeahy,
Tim Kaine ,Sen,3-Jan-13,timkaine,timkaine,,,(Name is present with no Twitter handle in Github)
Mark Warner ,Sen,3-Jan-17,MarkWarner,MarkWarner,MarkWarner,MarkWarner,
Maria Cantwell ,Sen,3-Jan-01,SenatorCantwell,SenatorCantwell,SenatorCantwell,SenatorCantwell,
Patty Murray ,Sen,3-Jan-17,PattyMurray,PattyMurray,PattyMurray,PattyMurray,
Joe Manchin ,Sen,15-Nov-10,Sen_JoeManchin,Sen_JoeManchin,Sen_JoeManchin,Sen_JoeManchin,
Shelley Moore Capito,Sen,3-Jan-15,SenCapito,SenCapito,SenCapito,SenCapito,
Tammy Baldwin ,Sen,3-Jan-13,SenatorBaldwin,SenatorBaldwin,SenatorBaldwin,SenatorBaldwin,
Ron Johnson ,Sen,3-Jan-11,SenRonJohnson,SenRonJohnson,SenRonJohnson,SenRonJohnson,
John Barrasso ,Sen,3-Jan-19,SenJohnBarrasso,SenJohnBarrasso,SenJohnBarrasso,SenJohnBarrasso,
Mike Enzi ,Sen,3-Jan-97,SenatorEnzi,SenatorEnzi,SenatorEnzi,SenatorEnzi,
Abby Finkenauer ,Rep,3-Jan-19,RepFinkenauer,RepFinkenauer,RepFinkenauer,RepFinkenauer,
Abigail Spanberger ,Rep,3-Jan-19,RepSpanberger,RepSpanberger,RepSpanberger,RepSpanberger,
Adam Kinzinger ,Rep,3-Jan-13,RepKinzinger,RepKinzinger,RepKinzinger,RepKinzinger,
Adam Schiff ,Rep,3-Jan-01,RepAdamSchiff,RepAdamSchiff,RepAdamSchiff,RepAdamSchiff,
Adam Smith ,Rep,3-Jan-97,RepAdamSmith,RepAdamSmith,RepAdamSmith,RepAdamSmith,
Adrian Smith ,Rep,3-Jan-07,RepAdrianSmith,RepAdrianSmith,RepAdrianSmith,RepAdrianSmith,
Adriano Espaillat ,Rep,3-Jan-17,RepEspaillat,RepEspaillat,RepEspaillat,RepEspaillat,
Al Green ,Rep,3-Jan-05,RepAlGreen,RepAlGreen,RepAlGreen,RepAlGreen,
Al Lawson ,Rep,3-Jan-17,RepAlLawsonJr,RepAlLawsonJr,RepAlLawsonJr,RepAlLawsonJr,
Alan Lowenthal ,Rep,3-Jan-13,RepLowenthal,RepLowenthal,RepLowenthal,RepLowenthal,
Albio Sires ,Rep,3-Jan-13,RepSires,RepSires,RepSires,RepSires,
Alcee Hastings ,Rep,3-Jan-93,RepHastingsFL,RepHastingsFL,RepHastingsFL,RepHastingsFL,
