Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,REMARK
Derek Kilmer ,Rep,3-Jan-13,RepDerekKilmer,RepDerekKilmer,RepDerekKilmer,RepDerekKilmer,
Devin Nunes ,Rep,3-Jan-03,RepDevinNunes,RepDevinNunes,RepDevinNunes,RepDevinNunes,
Diana DeGette ,Rep,3-Jan-97,RepDianaDeGette,RepDianaDeGette,RepDianaDeGette,RepDianaDeGette,
Dina Titus ,Rep,3-Jan-13,RepDinaTitus,RepDinaTitus,RepDinaTitus,RepDinaTitus,
Don Bacon ,Rep,3-Jan-17,repdonbacon,repdonbacon,repdonbacon,repdonbacon,
Don Beyer ,Rep,3-Jan-15,RepDonBeyer,RepDonBeyer,RepDonBeyer,RepDonBeyer,
Don Young ,Rep,5-Dec-17,RepDonYoung,RepDonYoung,RepDonYoung,RepDonYoung,
Donald McEachin ,Rep,3-Jan-17,RepMcEachin,RepMcEachin,RepMcEachin,RepMcEachin,
Donald Norcross ,Rep,12-Nov-14,DonaldNorcross,DonaldNorcross,DonaldNorcross,DonaldNorcross,
Donald Payne Jr.,Rep,15-Nov-12,RepDonaldPayne,RepDonaldPayne,RepDonaldPayne,RepDonaldPayne,
Donna Shalala ,Rep,3-Jan-19,RepShalala,RepShalala,RepShalala,RepShalala,
Doris Matsui ,Rep,10-Mar-05,DorisMatsui,DorisMatsui,DorisMatsui,DorisMatsui,
Doug Collins ,Rep,3-Jan-13,RepDougCollins,RepDougCollins,RepDougCollins,RepDougCollins,
Doug LaMalfa ,Rep,3-Jan-13,RepLaMalfa,RepLaMalfa,RepLaMalfa,RepLaMalfa,
Doug Lamborn ,Rep,3-Jan-07,RepDLamborn,RepDLamborn,RepDLamborn,RepDLamborn,
Drew Ferguson ,Rep,3-Jan-17,RepDrewFerguson,RepDrewFerguson,RepDrewFerguson,RepDrewFerguson,
Duncan D. Hunter,Rep,3-Jan-13,Rep_Hunter,Rep_Hunter,Rep_Hunter,Rep_Hunter,
Dusty Johnson ,Rep,3-Jan-19,RepDustyJohnson,RepDustyJohnson,RepDustyJohnson,RepDustyJohnson,
Dutch Ruppersberger ,Rep,3-Jan-03,Call_Me_Dutch,Call_Me_Dutch,Call_Me_Dutch,Call_Me_Dutch,
Dwight Evans ,Rep,14-Nov-16,RepDwightEvans,RepDwightEvans,RepDwightEvans,RepDwightEvans,
Earl Blumenauer ,Rep,21-May-96,repblumenauer,repblumenauer,BlumenauerMedia,BlumenauerMedia,repblumenauer(CSPAN) BlumenauerMedia(REST)
Ed Case ,Rep,3-Jan-19,RepEdCase,RepEdCase,RepEdCase,RepEdCase,
Ed Perlmutter ,Rep,3-Jan-07,RepPerlmutter,RepPerlmutter,RepPerlmutter,RepPerlmutter,
Eddie Bernice Johnson,Rep,3-Jan-93,RepEBJ,RepEBJ,RepEBJ,RepEBJ,
Elaine Luria ,Rep,3-Jan-19,RepElaineLuria,RepElaineLuria,RepElaineLuria,RepElaineLuria,
Eleanor Holmes Norton,Rep,3-Jan-91,EleanorNorton,EleanorNorton,EleanorNorton,EleanorNorton,
Elijah Cummings ,Rep,16-Apr-96,RepCummings,RepCummings,RepCummings,RepCummings,
Eliot Engel ,Rep,3-Jan-89,RepEliotEngel,RepEliotEngel,RepEliotEngel,RepEliotEngel,
Elise Stefanik ,Rep,3-Jan-15,RepStefanik,RepStefanik,RepStefanik,RepStefanik,
Elissa Slotkin ,Rep,3-Jan-19,RepSlotkin,RepSlotkin,RepSlotkin,RepSlotkin,
Emanuel Cleaver ,Rep,3-Jan-05,RepCleaver,RepCleaver,RepCleaver,RepCleaver,
Eric Swalwell ,Rep,3-Jan-13,RepSwalwell,RepSwalwell,RepSwalwell,RepSwalwell,
Filemon Vela Jr.,Rep,3-Jan-13,RepFilemonVela,RepFilemonVela,RepFilemonVela,RepFilemonVela,
Francis Rooney ,Rep,3-Jan-17,RepRooney,RepRooney,RepRooney,RepRooney,
Frank Lucas ,Rep,10-May-94,RepFrankLucas,RepFrankLucas,RepFrankLucas,RepFrankLucas,
Frank Pallone ,Rep,3-Jan-19,FrankPallone,FrankPallone,FrankPallone,FrankPallone,
Fred Upton ,Rep,3-Jan-93,RepFredUpton,RepFredUpton,RepFredUpton,RepFredUpton,
Frederica Wilson ,Rep,3-Jan-11,RepWilson,RepWilson,RepWilson,RepWilson,
French Hill ,Rep,3-Jan-15,RepFrenchHill,RepFrenchHill,RepFrenchHill,RepFrenchHill,
G. K. Butterfield,Rep,20-Jul-04,GKButterfield,GKButterfield,GKButterfield,GKButterfield,
Garret Graves ,Rep,3-Jan-15,RepGarretGraves,RepGarretGraves,RepGarretGraves,RepGarretGraves,
Gary Palmer ,Rep,3-Jan-15,USRepGaryPalmer,USRepGaryPalmer,USRepGaryPalmer,USRepGaryPalmer,
George Holding ,Rep,3-Jan-17,RepHolding,RepHolding,RepHolding,RepHolding,
Gerry Connolly ,Rep,3-Jan-09,GerryConnolly,GerryConnolly,GerryConnolly,GerryConnolly,
Gil Cisneros ,Rep,3-Jan-19,RepGilCisneros,RepGilCisneros,RepGilCisneros,RepGilCisneros,
Glenn Grothman ,Rep,3-Jan-15,RepGrothman,RepGrothman,RepGrothman,RepGrothman,
Glenn Thompson ,Rep,3-Jan-09,CongressmanGT,CongressmanGT,CongressmanGT,CongressmanGT,
Grace Meng ,Rep,3-Jan-13,RepGraceMeng,RepGraceMeng,RepGraceMeng,RepGraceMeng,
